Season,DayNum,WTeamID,WScore,LTeamID,LScore,WLoc,NumOT,WinnerTeam,LoserTeam
1985,136,1116,63,1234,54,N,0,Arkansas,Iowa
1985,136,1120,59,1345,58,N,0,Auburn,Purdue
1985,136,1207,68,1250,43,N,0,Georgetown,Lehigh
1985,136,1229,58,1425,55,N,0,Illinois St,USC
1985,136,1242,49,1325,38,N,0,Kansas,Ohio
1985,136,1246,66,1449,58,N,0,Kentucky,Washington
1985,136,1256,78,1338,54,N,0,Louisiana Tech,Pittsburgh
1985,136,1260,59,1233,58,N,0,Loyola-Chicago,Iona
1985,136,1314,76,1292,57,N,0,North Carolina,MTSU
1985,136,1323,79,1333,70,N,0,Notre Dame,Oregon St
1985,136,1326,75,1235,64,N,0,Ohio St,Iowa St
1985,136,1328,96,1299,83,N,0,Oklahoma,NC A&T
1985,136,1374,85,1330,68,N,0,SMU,Old Dominion
1985,136,1385,83,1380,59,N,0,St John's,Southern Univ
1985,136,1396,60,1439,57,N,0,Temple,Virginia Tech
1985,136,1424,85,1361,80,N,0,UNLV,San Diego St
1985,137,1104,50,1112,41,N,0,Alabama,Arizona
1985,137,1130,55,1403,53,N,0,Boston College,Texas Tech
1985,137,1181,75,1337,62,N,0,Duke,Pepperdine
1985,137,1208,67,1455,59,N,0,Georgia,Wichita St
1985,137,1210,65,1273,58,N,0,Georgia Tech,Mercer
1985,137,1228,76,1318,57,N,0,Illinois,Northeastern
1985,137,1268,69,1275,68,N,1,Maryland,Miami OH
1985,137,1272,67,1335,55,N,0,Memphis,Penn
1985,137,1276,59,1192,55,N,0,Michigan,F Dickinson
1985,137,1298,78,1261,55,N,0,Navy,LSU
1985,137,1301,65,1305,56,N,0,NC State,Nevada
1985,137,1393,70,1177,65,N,0,Syracuse,DePaul
1985,137,1412,70,1277,68,N,0,UAB,Michigan St
1985,137,1431,79,1409,75,N,0,UTEP,Tulsa
1985,137,1433,81,1267,65,N,0,VCU,Marshall
1985,137,1437,51,1173,49,N,0,Villanova,Dayton
1985,138,1120,66,1242,64,N,0,Auburn,Kansas
1985,138,1207,63,1396,46,N,0,Georgetown,Temple
